place_id:ID,place_type,name,province,:LABEL
CD_AB_Division_No._8,CD,Division No. 8,AB,E53_Place
CD_MB_Division_No._5,CD,Division No. 5,MB,E53_Place
CD_QC_Terrebonne,CD,Terrebonne,QC,E53_Place
CD_ON_Ontario,CD,Ontario,ON,E53_Place
CD_SK_Division_No._5,CD,Division No. 5,SK,E53_Place
CD_QC_Montmagny,CD,Montmagny,QC,E53_Place
CD_ON_Stormont,CD,Stormont,ON,E53_Place
CD_ON_Addington,CD,Addington,ON,E53_Place
CD_QC_Mégantic,CD,Mégantic,QC,E53_Place
CD_NS_Hants,CD,Hants,NS,E53_Place
CD_SK_Division_No._13,CD,Division No. 13,SK,E53_Place
CD_QC_Pontiac,CD,Pontiac,QC,E53_Place
CD_NS_Kings,CD,Kings,NS,E53_Place
CD_MB_Division_No._13,CD,Division No. 13,MB,E53_Place
CD_ON_Manitoulin,CD,Manitoulin,ON,E53_Place
CD_ON_Middlesex,CD,Middlesex,ON,E53_Place
CD_QC_L'Assomption,CD,L'Assomption,QC,E53_Place
CD_AB_Division_No._7,CD,Division No. 7,AB,E53_Place
CD_QC_Rimouski,CD,Rimouski,QC,E53_Place
CD_SK_Division_No._11,CD,Division No. 11,SK,E53_Place
CD_ON_Lincoln,CD,Lincoln,ON,E53_Place
CD_ON_Elgin,CD,Elgin,ON,E53_Place
CD_PE_Queens,CD,Queens,PE,E53_Place
CD_AB_Division_No._10,CD,Division No. 10,AB,E53_Place
CD_QC_Richmond,CD,Richmond,QC,E53_Place
CD_AB_Division_No._6,CD,Division No. 6,AB,E53_Place
CD_NB_Charlotte,CD,Charlotte,NB,E53_Place
CD_ON_Renfrew,CD,Renfrew,ON,E53_Place
CD_NB_Northumberland,CD,Northumberland,NB,E53_Place
CD_QC_Matane,CD,Matane,QC,E53_Place
CD_ON_Parry_Sound,CD,Parry Sound,ON,E53_Place
CD_QC_Napierville,CD,Napierville,QC,E53_Place
CD_QC_Chambly,CD,Chambly,QC,E53_Place
CD_NB_Westmorland,CD,Westmorland,NB,E53_Place
CD_BC_Yale,CD,Yale,BC,E53_Place
CD_AB_Division_No._13,CD,Division No. 13,AB,E53_Place
CD_ON_Lanark,CD,Lanark,ON,E53_Place
CD_QC_Brome,CD,Brome,QC,E53_Place
CD_QC_Joliette,CD,Joliette,QC,E53_Place
CD_PE_Prince,CD,Prince,PE,E53_Place
CD_QC_Montmorency,CD,Montmorency,QC,E53_Place
CD_QC_Stanstead,CD,Stanstead,QC,E53_Place
CD_SK_Division_No._6,CD,Division No. 6,SK,E53_Place
CD_QC_Vaudreuil,CD,Vaudreuil,QC,E53_Place
CD_AB_Division_No._11,CD,Division No. 11,AB,E53_Place
CD_ON_Simcoe,CD,Simcoe,ON,E53_Place
CD_QC_Argenteuil,CD,Argenteuil,QC,E53_Place
CD_QC_Champlain,CD,Champlain,QC,E53_Place
CD_PE_Kings,CD,Kings,PE,E53_Place
CD_BC_New_Westminster,CD,New Westminster,BC,E53_Place
CD_BC_Vancouver_Centre,CD,Vancouver Centre,BC,E53_Place
CD_QC_Dorchester,CD,Dorchester,QC,E53_Place
CD_NB_Gloucester,CD,Gloucester,NB,E53_Place
CD_MB_Division_No._9,CD,Division No. 9,MB,E53_Place
CD_ON_Wellington,CD,Wellington,ON,E53_Place
CD_AB_Division_No._9,CD,Division No. 9,AB,E53_Place
CD_MB_Division_No._3,CD,Division No. 3,MB,E53_Place
CD_SK_Division_No._8,CD,Division No. 8,SK,E53_Place
CD_NS_Colchester,CD,Colchester,NS,E53_Place
CD_QC_Témiscamingue,CD,Témiscamingue,QC,E53_Place
CD_BC_Burrard,CD,Burrard,BC,E53_Place
CD_QC_Iberville,CD,Iberville,QC,E53_Place
CD_BC_Cariboo,CD,Cariboo,BC,E53_Place
CD_NB_York,CD,York,NB,E53_Place
CD_ON_Algoma,CD,Algoma,ON,E53_Place
CD_NS_Halifax,CD,Halifax,NS,E53_Place
